backers_count,id,pledged,static_usd_rate,s_category,g_category,staff_pick,state,country,month_launched,currency,usd_pledged,length_days,name_length,blurb_length,goal_$,funded_percentage,converted_pledged_amount
128,1875733470,8995,1,348,26,0,1,21,6,13,0.001420272,0.325842697,0.43373494,0.663212435,0.000079993,0.000039193,0.001420272
3,785046596,21,1,338,16,0,0,21,8,13,0.000003316,0.269662921,0.65060241,0.575129534,0.000017993,0.000000407,0.000003316
0,1139882834,0,1,322,14,0,0,21,1,13,0,0.292134831,0.168674699,0.689119171,0.000014993,0,0
185,954931169,9510,1,361,13,0,1,21,4,13,0.001501588,0.325842697,0.662650602,0.658031088,0.000079993,0.000041437,0.001501588
29,881576865,9057,1,30,11,0,1,21,8,13,0.001430061,0.494382022,0.240963855,0.186528497,0.000087993,0.000035876,0.001430061
23,1684773645,1011,1,258,7,0,1,21,12,13,0.000159633,0.438202247,0.289156627,0.559585492,0.000000293,0.0011747,0.000159633
2,1596967788,465,1,338,16,0,0,21,1,13,0.000073421,0.325842697,0.481927711,0.689119171,0.000049993,0.000003242,0.000073421
1,1493085391,10,1,361,13,0,0,21,4,13,0.000001579,0.078651685,0.385542169,0.414507772,0.000039993,0.000000087,0.000001579
22,1584666846,1550,1.45241384,23,1,0,1,9,5,5,0.000355461,0.325842697,0.638554217,0.647668394,0.000021779,0.000036019,0.000355265
13,89885224,26000,0.05631947,281,17,0,1,15,7,8,0.000231208,0.213483146,0.156626506,0.435233161,0.000014073,0.000036252,0.000230054
18,454170088,4190,1,23,1,0,1,21,9,13,0.000661583,0.325842697,0.277108434,0.663212435,0.000021993,0.000066388,0.000661583
99,1314588795,26082,1,263,9,0,1,21,6,13,0.004118235,0.348314607,0.65060241,0.502590674,0.000249993,0.000036366,0.004118235
19,522202698,3027,1,258,7,0,1,21,4,13,0.00047795,0.325842697,0.578313253,0.689119171,0.000005993,0.000175856,0.00047795
2,324002794,50,1,361,13,0,0,21,12,13,0.000007895,0.224719101,0.13253012,0.694300518,0.000097493,0.000000179,0.000007895
2,1753330083,20,1,276,15,0,0,21,12,13,0.000003158,0.325842697,0.614457831,0.647668394,0.000749993,0.000000009,0.000003158
620,369710714,78025.01,1,51,16,0,1,21,2,13,0.012319811,0.393258427,0.662650602,0.67357513,0.000499993,0.000054395,0.012319811
122,1834165693,7784,1.58873397,258,7,0,1,9,6,5,0.001952649,0.325842697,0.554216867,0.683937824,0.000111204,0.000038762,0.001916696
2,78443231,35,1,21,1,0,0,21,5,13,0.000005526,0.224719101,0.662650602,0.689119171,0.000249993,0.000000049,0.000005526
108,1796153535,20469.5,1,29,11,1,0,21,9,13,0.003232045,0.325842697,0.409638554,0.652849741,0.000749993,0.000009514,0.003231967
8,309961488,155,1.1576258,51,16,0,0,8,10,4,0.000028332,0.494382022,0.108433735,0.409326425,0.000347281,0.00000018,0.000027632
1176,1727079190,7177.39,0.79412979,51,16,0,1,3,3,1,0.00089997,0.325842697,0.686746988,0.658031088,0.000006346,0.000312733,0.000935848
58,21167333,1233,1.32125704,316,14,0,1,9,11,5,0.000257229,0.213483146,0.325301205,0.388601036,0.000005938,0.00009551,0.000260528
136,1830716364,6796,1,322,14,0,1,21,6,13,0.001073059,0.359550562,0.325301205,0.652849741,0.000034993,0.000067683,0.001073059
11,1850463129,1045,1,23,1,0,0,21,7,13,0.000165001,0.325842697,0.361445783,0.647668394,0.000046993,0.00000775,0.000165001
