featured_project,project_video,state,category,status_labels,funding_currency.1,avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,description_length,full_desc_len,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,project_img,duration
0,1,13,87,1,0,0.007183908,0.000883366,0.776119403,0.027500996,0.0002999,0.000388835,0.000270442,0.000393776,0,0,0,0.005192108,0.092307692,0.012345679,0.046153846,0.491525424
0,2,108,110,0,0,0.00058908,0.002558708,0.985074627,0.518453567,0.0029999,2.49E-05,0.000173385,7.88E-05,0,0,0,0.001211492,0.261538462,0.024691358,0.6,0.762711864
0,1,92,100,0,0,0.000201149,4.33E-05,0.746268657,0.052092467,9.99E-05,5.30E-06,1.14E-06,2.25E-05,0,0,0,0.00017307,0.107692308,0.024691358,0.115384615,0.491525424
1,1,125,125,1,4,0.006048851,0.001005392,0.850746269,0.284137106,0.0006999,0.000437009,0.00070935,0.000922561,0,0,0,0.010211146,0.215384615,0.037037037,0.069230769,0.542372881
0,0,32,2,1,6,0.003591954,0.003348608,0.805970149,0,0.0009999,0.00037914,0.000879221,0.000337522,0,0,0,0.004326757,0.153846154,0.12345679,0.130769231,0.661016949
0,1,44,132,0,0,0.005172414,0.007701569,0.940298507,0,0.0039999,0.000154557,0.001433895,0.000236266,0.000297187,0,0.111111111,0.003115265,0.076923077,0.012345679,0.007692308,0.762711864
0,0,126,2,0,0,0,5.19E-06,0.179104478,0.025189318,8.99E-05,4.17E-07,0,0,0,0,0,0,0.030769231,0,0.007692308,0.491525424
1,1,18,67,1,0,0.065229885,0.000885028,0.992537313,0.427142288,0.0015999,0.000929236,0.003448111,0.005141591,0.004358737,0,0,0.078573901,0.153846154,0.197530864,0.284615385,0.491525424
0,0,18,35,0,0,0.015804598,0.000344477,0.410447761,0.065245118,0.0001878,0.000305365,0.000132981,0.000495033,6.60E-05,0,0,0.007615092,0.061538462,0.012345679,0.007692308,0.491525424
0,1,13,2,0,0,0.001853448,0.000599954,0.902985075,0.052530889,0.0007499,3.24E-05,5.62E-05,0.000112507,0,0,0,0.001557632,0.107692308,0,0.030769231,0.745762712
0,0,13,2,1,0,0.01920977,0.000506798,0.492537313,0.13192507,4.99E-05,0.02158269,0.002502663,0.00649168,0.000924581,0,0.074074074,0.099515403,0.661538462,0.061728395,0.223076923,0.406779661
0,0,13,8,0,0,0,5.19E-06,0.492537313,0.032124352,0.0009999,3.80E-08,0,0,0,0,0,0,0.015384615,0.049382716,0.007692308,1
1,1,125,105,1,4,0.006321839,0.00025153,0.888059701,0.074292547,5.99E-05,0.000452574,6.29E-05,0.000315021,0,0,0,0.003807546,0.076923077,0.024691358,0.046153846,0.406779661
0,1,29,133,0,0,0.004310345,0.000748774,0.985074627,0.07333599,0.024999902,1.10E-06,6.37E-05,0.000101257,0,0,0,0.001557632,0.046153846,0,0,1
0,1,75,85,0,2,0.000862069,0.000199915,0.537313433,0.076006377,0.0019999,1.52E-06,6.85E-06,3.38E-05,3.30E-05,0.095238095,0,0.000519211,0.076923077,0,0.192307692,0.491525424
0,1,18,116,0,0,0,0.000129815,0.320895522,0.138302112,0.0015873,6.06E-07,2.20E-06,1.13E-05,0,0,0,0,0.123076923,0,0,0.491525424
0,1,125,112,1,4,0.014008621,0.00031166,0.932835821,0.106058191,0.0001199,0.000433335,0.000120509,0.000495033,0,0,0,0.00674974,0.061538462,0,0.046153846,0.491525424
0,0,75,137,0,2,0,0.000192126,0.701492537,0.068752491,0.19999992,0,1.58E-06,0,0,0.047619048,0,0,0.153846154,0,0.007692308,0.661016949
0,0,85,7,0,0,0.007614943,0.000401908,0.149253731,0.06556397,0.0004199,0.000226249,0.000220288,0.000708797,0.000132083,0.047619048,0.037037037,0.009172724,0.153846154,0.024691358,0.007692308,0.220338983
0,0,125,95,1,4,0.006321839,0.000173745,0.902985075,0.034834595,4.99E-05,0.00045674,5.29E-05,0.000382525,3.30E-05,0,0,0.003807546,0.076923077,0,0.007692308,0.491525424
0,1,18,23,0,0,0.001436782,0.000394638,0.514925373,0.035671582,2.99E-05,0.000291617,2.02E-05,5.63E-05,0,0.571428571,0,0.000865351,0.076923077,0.012345679,0.392307692,0.491525424
0,0,108,2,0,0,0.001637931,0.000271054,0.320895522,0.103945795,0.0007999,1.26E-05,2.33E-05,0.000101257,3.30E-05,0,0,0.001384562,0.107692308,0,0.007692308,0.423728814
0,1,13,59,1,0,0.022413793,0.000742231,0.231343284,0.052092467,0.0004999,0.000430684,0.000499338,0.000877558,0.000561353,0,0.166666667,0.013499481,0.076923077,0.024691358,0.046153846,0.491525424
0,0,35,10,1,6,0.000359195,0.000718345,0.358208955,0.065763252,6.90E-06,0.001130754,1.83E-05,2.25E-05,6.60E-05,0,0,0.000346141,0.123076923,0,0.053846154,0.220338983
0,0,125,53,0,4,0.003591954,0.000131269,0.970149254,0.311797529,0.0001999,1.74E-05,7.99E-06,6.75E-05,3.30E-05,0.047619048,0,0.000865351,0.030769231,0,0.007692308,0.491525424
0,1,110,110,1,0,0.077586207,0.000714399,0.843283582,0.008688721,4.99E-05,0.014380885,0.001667534,0.003071453,0.000495311,0,0,0.046728972,0.076923077,0.012345679,0.115384615,1
0,1,6,110,0,6,0.002456897,0.000240314,0.21641791,0.030689518,0.0004999,4.48E-05,5.18E-05,0.000270018,0,0,0.018518519,0.004153686,0.215384615,0.024691358,0.292307692,0.559322034
0,1,66,132,0,0,0.013405172,0.000538058,0.171641791,0.083818254,0.0004999,0.000126797,0.000146947,0.000348773,9.91E-05,0,0,0.004845967,0.046153846,0.012345679,0.007692308,0.491525424
0,1,2,111,1,0,0.005603448,0.000790107,0.970149254,0.049701076,0.0003899,0.000423867,0.000383309,0.000630042,0,0,0.018518519,0.00674974,0.153846154,0.049382716,0.061538462,0.322033898
0,0,125,35,0,4,0.000962644,6.75E-05,0.820895522,0.059585492,0.029999903,3.80E-08,1.76E-06,2.25E-05,0,0,0,0.000346141,0.046153846,0,0.007692308,1
1,1,125,22,1,4,0.194856322,0.000274377,0.223880597,0.03351933,0.0049999,0.000426329,0.00494349,0.023514058,0.000231145,0,0,0.30512288,0.2,0.024691358,0.007692308,0.491525424
