State,Currency,Top_Category,Category,Creator,Location,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration_in_Days,Facebook_Connected,Facebook_Friends,Facebook_Shares,Has_Video,Creator_Projects_Created,Creator_Projects_Backed,#_Videos,#_Images,#_Words_(Description),#_Words_(RisksandChallenges),#_FAQs
0,5,12,51,Brian Hobgood,Thornton,0,0,11,5000,275,4,29-04-14,29-05-14,30,1,39,71,1,1,17,0,1,543,72,0
0,3,0,10,Belinda Hall,Bagni di Lucca,2,0,11,11500,1541,38,29-04-14,06-06-14,38,1,381,313,1,1,5.172066391,0,16,922,142,0
0,0,4,104,Techbuy,Sydney,0,1,9,5000,549,15,29-04-14,20-05-14,21,0,0,56,1,1,5.172066391,0,6,1604,130,0
0,5,12,88,Myra Waverly,Cleveland,8,0,6,510,342,8,29-04-14,08-06-14,40,1,0,1089,1,2,5.172066391,0,0,364,85,0
1,5,4,9,Studio Aiello,Los Angeles,0,0,2,1000,1151,10,29-04-14,08-05-14,9,0,0,122,1,1,5.172066391,0,1,118,70,0
0,5,14,130,Victor Lopez,Reston,0,0,10,14000,821,13,29-04-14,02-06-14,34,0,0,135,1,1,5.172066391,3,1,622,145,0
0,5,10,30,Wesley Michael Hayes,Tulsa,18,0,13,5000,2682,23,29-04-14,30-05-14,31,1,823,561,1,2,5.172066391,0,0,468,282,0
0,5,6,140,John Krumrine,Boone,3,0,3,1000,28,4,29-04-14,29-05-14,30,1,149,9,1,1,5.172066391,0,0,448,129,0
0,5,11,91,Kelly Giglio,Chiang Mai,0,0,7,2500,80,2,29-04-14,29-05-14,30,0,0,6,1,1,5.172066391,0,7,439,93,0
0,5,1,25,Doreen,Hazlet,0,0,11,7500,49,7,29-04-14,29-05-14,30,1,153,11,1,1,5.172066391,0,4,1232,82,0
1,5,6,120,Neil Creque Williams,Los Angeles,4,0,14,5000,6388,76,28-04-14,28-05-14,30,1,1540,804,1,1,3,0,27,1537,70,0
1,0,11,91,Isobel Markus-Dunworth,Sydney,0,0,6,550,555,11,28-04-14,28-05-14,30,1,419,24,0,1,1,0,0,383,100,0
0,5,6,140,"Nove Culturae Ventures, LLC",Siena,1,0,20,30000,186,6,29-04-14,29-05-14,30,0,0,243,1,1,5.172066391,0,0,178,30,0
0,5,6,5,Have Fun Teaching,Lawrenceville,7,12,12,220000,4907,124,28-04-14,03-06-14,35,1,160,1163,1,1,5.172066391,3,12,566,184,2
0,2,12,51,Huub van Zwieten,Amsterdam,0,0,4,4000,269,10,28-04-14,28-05-14,30,1,478,6,1,1,2,0,0,341,147,0
1,5,12,88,Sharon Wilsie with In-Step Horsemanship,Putney,3,0,9,2725,3330,45,28-04-14,30-05-14,31,1,362,154,1,2,1,0,0,223,157,0
1,1,10,83,Shirley de Vooght,Clearwater,6,1,10,5000,6410,45,28-04-14,28-05-14,30,1,652,530,1,1,5.172066391,0,0,356,42,0
0,2,4,104,"Rieko, Robbert and Matthijs",Enschede,4,6,9,30000,6543,152,28-04-14,28-05-14,30,1,205,332,1,1,3,0,13,1006,119,0
0,5,10,102,Cassette,Albuquerque,5,2,6,1000,234,9,28-04-14,28-05-14,30,1,654,67,1,1,5.172066391,0,0,309,50,3
1,5,8,126,Walt Langhans,Buford,18,178,9,3500,11967,103,28-04-14,28-05-14,30,1,217,244,1,5,11,0,49,2967,120,5
0,2,6,3,Miek & Rogo,Amsterdam,1,0,19,11500,200,2,29-04-14,29-05-14,30,0,0,0,0,1,3,0,10,1346,224,1
0,0,6,128,James Clifton,Adelaide,0,0,6,2500,50,1,29-04-14,14-05-14,15,1,32,3,0,2,0,0,0,218,53,0
1,2,8,126,Elwin Klappe,Zwolle,4,38,8,3000,3946,238,29-04-14,29-05-14,30,1,268,81,1,1,13,0,5,997,100,3
0,2,0,10,Anouk Griffioen,Rotterdam,0,1,6,8000,2099,25,29-04-14,31-05-14,32,1,1079,117,0,1,5.172066391,0,3,306,216,0
0,5,13,63,Max Leograndis,Isla Vista,1,1,16,6500,2268,50,29-04-14,26-05-14,27,1,76,40,1,2,2,0,2,1759,88,0
1,5,8,126,Anthony Pope and Family,Las Vegas,4,34,8,1000,5830,70,29-04-14,29-05-14,29,1,87,106,1,1,5.172066391,0,4,896,160,0
0,2,4,104,Klaas Heek,Amsterdam,0,1,2,5000,69,7,29-04-14,15-06-14,47,1,142,29,1,1,5.172066391,0,3,283,46,0
1,1,5,49,Nick Banerd,Toronto,3,0,10,1000,1001,5,29-04-14,15-05-14,16,1,728,72,1,1,5.172066391,0,13,632,32,1
1,3,0,90,4th Year Painting and Printmaking,Glasgow,1,0,2,750,1071,46,29-04-14,24-05-14,25,0,0,137,1,1,5.172066391,0,0,246,27,0
1,2,10,44,Johan Spruijt,Barneveld,2,7,8,5000,7193,99,29-04-14,29-05-14,30,1,294,492,1,1,5.172066391,0,0,484,90,0
0,2,10,64,Feliciana Cacciapuoti,Rotterdam,2,0,6,4000,370,9,29-04-14,29-05-14,30,1,2454,6,1,2,5.172066391,0,0,161,103,0
0,2,7,55,Mike Hendrixen,Arnhem,1,1,6,7500,1591,29,29-04-14,13-06-14,45,1,461,174,1,1,5.172066391,0,4,909,107,0
1,5,10,83,Tim Smith,Durham,2,1,17,4200,6333,117,29-04-14,29-05-14,30,1,1720,454,1,1,5.172066391,0,8,616,157,0
1,3,11,96,Blackpool & The Fylde Graduates,Blackpool,0,0,7,800,1284,47,29-04-14,17-05-14,18,1,0,163,1,1,5.172066391,0,1,256,59,0
1,5,14,130,Jim Vadeboncoeur Jr,Palo Alto,12,4,24,8800,17440,249,29-04-14,29-05-14,30,1,545,629,1,1,11,0,20,2834,151,1
0,2,12,51,Manuel Antonio,Nederland,2,0,7,500,12,3,29-04-14,29-05-14,30,1,186,0,0,1,2,0,2,2939,141,0
0,2,6,37,Wout Panis,La Push,0,0,5,1000,10,1,29-04-14,14-06-14,46,0,0,0,0,1,5.172066391,0,0,321,121,0
0,2,4,104,Maria van Bruggen,Brussels,0,0,8,5250,362,14,29-04-14,29-05-14,30,0,0,74,1,1,5.172066391,1,12,550,89,1
0,5,6,140,Peter Meso,Prague,3,2,7,5000,111,4,29-04-14,13-06-14,45,0,0,86,1,1,5.172066391,0,2,308,160,0
0,5,4,104,Brian Lilly,Champaign,6,0,9,30000,26051,169,29-04-14,29-05-14,30,0,0,1239,1,1,5.172066391,0,32,1062,111,1
0,3,8,78,Jay Firth,Greater Manchester,0,0,5,2000,5,1,29-04-14,11-05-14,12,0,0,51,0,1,5.172066391,0,0,212,113,0
1,3,3,93,James Cousins,London,0,0,6,1500,1585,43,29-04-14,23-05-14,24,0,0,242,1,2,0,0,0,467,191,0
0,5,10,83,Terrance Austin,Mckees Rocks,0,0,7,525,70,2,29-04-14,30-05-14,30,1,1999,13,1,1,5.172066391,0,0,256,52,0
0,5,6,5,Steven Quiñones-Colón,Arecibo,0,0,24,155000,448,12,29-04-14,30-05-14,31,1,34,72,1,1,2,0,12,952,205,0
1,3,6,120,Glass Cheque Productions,Glasgow,4,1,9,1500,1655,48,29-04-14,11-05-14,12,0,0,74,1,1,5.172066391,0,5,1187,147,0
0,5,4,104,KRISTIN AHMER,Post Falls,4,6,12,25000,10306,116,29-04-14,29-05-14,30,0,0,781,1,1,3,0,10,892,115,1
1,3,6,50,Rachel McGarry,Edinburgh,1,1,5,150,277,26,29-04-14,24-05-14,25,1,406,189,0,2,0,0,0,209,116,0
1,3,6,120,Liam Bellamy,Plymouth,0,0,6,300,300,6,29-04-14,15-05-14,16,0,0,45,1,1,5.172066391,0,0,97,93,0
1,5,4,104,Mats Horn,Stockholm,3,106,16,100000,140934,1102,29-04-14,29-05-14,30,1,1589,4257,1,1,12,0,27,1119,374,6
0,3,6,52,William Henry Smyth,Cumbria,0,0,4,500,10,1,29-04-14,09-05-14,10,1,646,4,0,1,5.172066391,0,5,1232,75,0
1,5,4,104,Zen Float Co,Salt Lake City,7,70,13,90000,295996,271,29-04-14,29-05-14,30,1,663,5741,1,1,1,2,11,1566,149,22
0,2,11,87,Frank Meussen,Wintraak,0,0,5,60000,1,1,29-04-14,01-06-14,32,1,8,0,0,1,5.172066391,0,0,211,188,0
1,5,10,64,DJ Stuck Down A Mineshaft,Canton,12,6,45,1000,2291,74,29-04-14,13-06-14,45,0,0,259,1,3,46,0,2,3411,94,0
1,3,0,10,Jennifer Pitchers,Johnson,2,1,9,1400,2506,21,29-04-14,29-05-14,30,1,373,25,1,1,1,0,7,523,62,0
1,5,8,136,Black Forest Games,Gemeinde Offenburg,17,1568,12,50000,52931,1190,29-04-14,23-05-14,24,0,0,1452,1,3,7,0,17,1516,265,0
1,5,4,104,Rick Ralph,Los Angeles,8,35,15,25000,31353,117,29-04-14,29-05-14,30,0,0,334,1,1,5,1,43,1483,102,7
1,5,13,63,"Consumer Physics, Inc.",Tel Aviv,8,1118,29,200000,2762572,12958,29-04-14,15-06-14,47,0,0,35467,1,1,5.172066391,0,30,965,252,1
1,5,9,73,Matthew Workman,Torshavn,1,1,8,2000,2218,41,29-04-14,21-05-14,22,0,0,526,1,2,4,0,0,224,135,0
0,1,4,61,Sarita Mann,Vancouver,5,0,15,18000,4195,80,29-04-14,18-05-14,18,1,216,417,1,1,5.172066391,0,17,2199,125,0
0,3,6,140,Beau Hobbs,Ebbw Vale,0,0,7,10000,10,1,29-04-14,29-05-14,30,0,0,2,1,1,2,0,3,824,105,0
0,5,0,10,Dennis James Jones,St. Louis,0,0,4,1718,70,2,29-04-14,29-05-14,30,1,37,0,1,1,3,0,0,1851,429,0
0,5,4,104,Les Ateliers Metallurgiques Demigny,Cambridge,0,2,5,4700,554,22,29-04-14,29-05-14,30,0,0,31,1,1,5.172066391,0,15,664,108,0
1,5,12,88,My New Enterprise,Salt Lake City,2,0,14,28000,28435,63,29-04-14,29-05-14,30,0,0,230,1,1,6,0,13,2030,167,0
0,5,4,104,Gina Shango,Minneapolis,0,0,13,75000,51,2,29-04-14,03-06-14,35,1,16,0,1,1,5.172066391,0,2,397,84,0
0,5,12,88,"Don Coats, DVM",Chadds Ford,0,0,6,15000,3051,18,29-04-14,29-05-14,30,1,55,44,1,1,2,0,0,271,112,0
0,5,6,24,Chris Rados,Buffalo,5,1,11,10000,900,13,29-04-14,13-06-14,45,1,733,333,1,1,4,0,19,3535,296,0
0,5,4,104,Squizmo LLC,Chicago,1,2,15,14000,1675,58,29-04-14,29-05-14,30,0,0,112,1,2,5,0,10,1093,238,0
1,3,13,0,LIX,London,7,752,11,30000,731690,8030,29-04-14,29-05-14,30,0,0,36983,1,1,5,0,16,1149,303,7
1,2,13,0,MyMatics,Utrecht,6,19,7,35000,39785,81,29-04-14,29-05-14,30,0,0,254,1,1,9,0,16,2110,264,3
1,5,13,127,CleverPet,San Diego,7,42,8,100000,180623,1142,29-04-14,02-06-14,33,0,0,6822,1,1,4,1,33,2830,161,4
1,5,12,94,Omar Abed,Blacksburg,0,0,5,325,665,11,29-04-14,29-05-14,30,1,365,73,1,1,5.172066391,0,0,247,279,0
0,3,12,106,Caroline U,Derby,0,0,4,300,4,2,29-04-14,29-05-14,30,0,0,0,0,1,5.172066391,0,2,312,35,0
1,5,4,104,Concepter,Kiev,6,151,13,50000,155824,3653,29-04-14,05-06-14,37,1,585,2542,1,1,5.172066391,0,22,1074,147,6
1,5,12,88,Jacob Gerber,Lincoln,0,0,6,1500,1789,64,29-04-14,30-05-14,30,1,835,138,1,1,5.172066391,0,1,2138,104,0
0,5,8,136,Adam Prack,Myrtle Beach,6,31,13,24000,3269,94,29-04-14,25-05-14,26,1,469,85,1,2,3,0,19,1165,152,0
